地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
東京,東京,新宿区,人文,芸能・興行・イベント,矢来能楽堂で上演される能・狂言,B,現代資源
東京,東京,文京区,人文,芸能・興行・イベント,宝生能楽堂で上演される能・狂言,B,現代資源
東京,東京,港区,人文,芸能・興行・イベント,銕仙会能楽研修所舞台で上演される能・狂言,B,現代資源
東京,東京,千代田区,人文,芸能・興行・イベント,東京宝塚劇場で上演される歌劇,B,現代資源
東京,東京,千代田区,人文,芸能・興行・イベント,国立演芸場で上演される演芸,B,現代資源
東京,東京,北区,人文,芸能・興行・イベント,篠原演芸場で上演される大衆演劇,B,現代資源
東京,東京,台東区,人文,芸能・興行・イベント,浅草演芸ホールで上演される演芸,B,現代資源
南関東,神奈川,横浜市,人文,芸能・興行・イベント,横浜能楽堂で上演される能・狂言,B,現代資源
南関東,神奈川,鎌倉市,人文,芸能・興行・イベント,鎌倉能舞台で上演される能・狂言,B,現代資源
北陸,新潟,長岡市,人文,芸能・興行・イベント,越後山古志　牛の角突き,B,現代資源
北陸,新潟,佐渡市,人文,芸能・興行・イベント,佐渡地域の能・狂言,B,現代資源
北陸,石川,金沢市,人文,芸能・興行・イベント,石川県立能楽堂で上演される能・狂言,B,現代資源
東海,長野,松本市,人文,芸能・興行・イベント,セイジ・オザワ 松本フェスティバル,B,現代資源
東海,愛知,名古屋市,人文,芸能・興行・イベント,名古屋能楽堂で上演される能・狂言,B,現代資源
東海,愛知,名古屋市,人文,芸能・興行・イベント,大須演芸場で上演される演芸,B,現代資源
東海,愛知,名古屋市,人文,芸能・興行・イベント,御園座で上演される歌舞伎,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,南座で上演される歌舞伎,A,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,都をどり（祇園甲部歌舞練場）,A,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,北野をどり（上七軒歌舞練場）,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,鴨川をどり（先斗町歌舞練場）,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,京都競馬場の菊花賞,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,京都観世会館で上演される能・狂言,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,金剛能楽堂で上演される能・狂言,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,京都の六斎念仏,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,嵯峨大念仏狂言,B,現代資源
北関西,京都,京都市,人文,芸能・興行・イベント,壬生狂言,B,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,国立文楽劇場で上演される文楽,A,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,なんばグランド花月（ＮＧＫ）で上演されるお笑い,A,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,大阪松竹座で上演される歌舞伎,B,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,大阪能楽会館で上演される能・狂言,B,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,大槻能楽堂で上演される能・狂言,B,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,天満天神繁昌亭で上演される演芸,B,現代資源
南関西,大阪,大阪市,人文,芸能・興行・イベント,呉服座の旅芝居,B,現代資源
中国,兵庫,宝塚市,人文,芸能・興行・イベント,宝塚大劇場で上演される歌劇,A,現代資源
中国,兵庫,西宮市,人文,芸能・興行・イベント,全国高等学校野球選手権大会（夏の甲子園）,A,現代資源
中国,兵庫,神戸市,人文,芸能・興行・イベント,上田能楽堂で上演される能・狂言,B,現代資源
中国,兵庫,豊岡市,人文,芸能・興行・イベント,永楽館で上演される歌舞伎,B,現代資源
中国,兵庫,南あわじ市,人文,芸能・興行・イベント,淡路人形座で上演される人形浄瑠璃,B,現代資源
中国,島根,隠岐の島町,人文,芸能・興行・イベント,隠岐の島の闘牛,B,現代資源
四国,香川,琴平町,人文,芸能・興行・イベント,旧金毘羅大芝居（金丸座）で上演される歌舞伎,A,現代資源
四国,愛媛,内子町,人文,芸能・興行・イベント,歌舞伎劇場内子座の芝居,B,現代資源
四国,愛媛,宇和島市,人文,芸能・興行・イベント,宇和島の闘牛,B,現代資源
九州,福岡,飯塚市,人文,芸能・興行・イベント,嘉穂劇場の芝居,B,現代資源
九州,福岡,福岡市,人文,芸能・興行・イベント,大濠公園能楽堂で上演される能・狂言,B,現代資源
九州,福岡,福岡市,人文,芸能・興行・イベント,博多座で上演される歌舞伎,B,現代資源
九州,熊本,山鹿市,人文,芸能・興行・イベント,八千代座で上演される歌舞伎,B,現代資源
九州,鹿児島,霧島市,人文,芸能・興行・イベント,霧島国際音楽祭,B,現代資源
九州,鹿児島,徳之島町,人文,芸能・興行・イベント,徳之島の闘牛,B,現代資源
九州,沖縄,うるま市,人文,芸能・興行・イベント,うるまの闘牛,B,現代資源
北関東,栃木,佐野市,自然,植物,三毳山のカタクリ,B,自然資源
北関東,茨城,潮来市,自然,植物,水郷のアヤメ,B,自然資源
東海,山梨,富士河口湖町,自然,植物,富士本栖湖リゾートの芝桜,B,自然資源
南関東,埼玉,日高市,自然,植物,巾着田のマンジュシャゲ,B,自然資源
南関東,千葉,印西市,自然,植物,吉高の大桜,B,自然資源
東京,東京,八王子市,自然,植物,多摩森林科学園のサクラ,B,自然資源
東北,福島,富岡町,自然,植物,福島県富岡町のサクラ,B,自然資源
東北,岩手,久慈市,自然,自然現象,内間木洞の氷筍,B,自然資源
東北,青森,深浦町,自然,岩石・洞窟,日本キャニオン,B,自然資源
東北,岩手,奥州市/西和賀町,自然,山岳,焼石岳,B,自然資源
東北,岩手,盛岡市,自然,山岳,姫神山,B,自然資源
東北,岩手,平泉町,人文,神社・寺院・教会,達谷窟毘沙門堂　別當達谷西光寺,B,歴史資源
東北,山形,村山市/寒河江市,自然,山岳,葉山,B,自然資源
東北,福島,下郷町,自然,岩石・洞窟,塔のへつり,B,自然資源
北海道,北海道,新得町/上士幌町,自然,山岳,ニペソツ山,B,自然資源
北海道,北海道,富良野市/芦別市/他,自然,山岳,芦別岳,B,自然資源
北海道,北海道,夕張市/南富良野町,自然,山岳,夕張岳,B,自然資源
